hierarchy,architecture,fold_desc,h_desc,t_desc,f_desc
101.1.9.3,alpha arrays,HTH,HTH,Putative DNA-binding domain,HTH_Tnp_Mu_1
3787.1.1.0,alpha bundles,HAD superfamily helical bundle insertion domain,Four-helix bundle insertion in HAD-related proteins,Four-helix bundle insertion in HAD-related proteins,NO_F_NAME
109.4.1.218,alpha superhelices,Repetitive alpha hairpins,ARM repeat,ARM repeat,SNAP
52.1.1.1,beta sandwiches,"E2 regulatory, transactivation domain","E2 regulatory, transactivation domain","E2 regulatory, transactivation domain",PPV_E2_N
301.8.1.3,a+b three layers,Bacillus chorismate mutase-like,4'-phosphopantetheinyl transferase,4'-phosphopantetheinyl transferase,AASDHPPT_N
208.1.1.0,beta duplicates or obligate multimers,Single-stranded left-handed beta-helix,Trimeric LpxA-like enzymes,Trimeric LpxA-like enzymes,NO_F_NAME
7574.1.1.3,a/b three-layered sandwiches,Thiamin diphosphate-binding fold (THDP-binding),Thiamin diphosphate-binding fold (THDP-binding),Thiamin diphosphate-binding fold (THDP-binding),"E1_dh,OxoDH_E1alpha_N"
109.4.1.216,alpha superhelices,Repetitive alpha hairpins,ARM repeat,ARM repeat,SLT_L
2484.1.1.58,mixed a+b and a/b,Ribonuclease H-like,Ribonuclease H-like,Ribonuclease H-like,Taq-exonuc
389.1.2.2,few secondary structure elements,EGF-like,EGF-related,Complement control module/SCR domain,Sushi_2
235.1.1.19,a+b complex topology,Lysozyme-like,Lysozyme-like,Lysozyme-like,SLT_2
2.1.1.6,beta barrels,OB-fold,Nucleic acid-binding proteins,Nucleic acid-binding proteins,SSB
274.1.1.1,a+b two layers,Pili subunits,Pili subunits,Pili subunits,Pilin
148.1.3.26,alpha arrays,Histone-like,Histone-related,AAA+ ATPase lid domain,AAA_lid_9
850.1.1.2,a+b three layers,Hypothetical protein Ta1206-like,Hypothetical protein Ta1206-like,Hypothetical protein Ta1206-like,DUF1805
12.1.1.4,beta sandwiches,Glycosyl hydrolase domain-like,Glycosyl hydrolase domain,Glycosyl hydrolase domain,Alpha-L-AF_C
2002.1.1.145,a/b barrels,TIM beta/alpha-barrel,TIM barrels,TIM barrels,Alpha-L-AF_C
9.1.1.11,beta barrels,Lipocalins/Streptavidin,Lipocalins,Lipocalins,Lipocalin_2
2002.1.1.100,a/b barrels,TIM beta/alpha-barrel,TIM barrels,TIM barrels,ComA
12.1.1.40,beta sandwiches,Glycosyl hydrolase domain-like,Glycosyl hydrolase domain,Glycosyl hydrolase domain,Glyc_hyd_38C_2
12.3.1.13,beta sandwiches,Glycosyl hydrolase domain-like,supersandwich,supersandwich,Glyco_hydro_38C
10.12.1.63,beta sandwiches,jelly-roll,Double-stranded beta-helix,Double-stranded beta-helix,MPI_cupin_dom
73.1.1.6,beta sandwiches,SMAD/FHA domain,SMAD/FHA domain,SMAD/FHA domain,IRF-3
325.1.6.2,a+b complex topology,alpha/beta-Hammerhead/Barrel-sandwich hybrid,alpha/beta-Hammerhead/Barrel-sandwich hybrid,Duplicated hybrid motif,Peptidase_M23
290.1.1.1,beta barrels,Sortase,Sortase,Sortase,Sortase
375.1.1.12,few secondary structure elements,Rubredoxin-like,Rubredoxin-related,Rubredoxin-related,Ribosomal_S27e
6.1.1.0,beta duplicates or obligate multimers,beta-Trefoil,beta-Trefoil,beta-Trefoil,NO_F_NAME
6.1.1.19,beta duplicates or obligate multimers,beta-Trefoil,beta-Trefoil,beta-Trefoil,RicinB_lectin_2
875.1.1.1,a+b two layers,"Chorismate synthase, AroC","Chorismate synthase, AroC","Chorismate synthase, AroC",Chorismate_synt
1.1.17.3,beta barrels,cradle loop barrel,RIFT-related,FMN-binding split barrel,Trypsin_2
286.1.1.2,a+b complex topology,Diaminopimelate epimerase-like,Diaminopimelate epimerase-like,Diaminopimelate epimerase-like,PhzC-PhzF
2003.1.1.53,a/b three-layered sandwiches,Rossmann-like,Rossmann-related,NAD(P)-binding Rossmann-fold domains,NmrA
3787.2.1.0,alpha bundles,HAD superfamily helical bundle insertion domain,Helical insertion domain in hypothetical protein MW1667,Helical insertion domain in hypothetical protein MW1667,NO_F_NAME
2006.1.1.15,a/b three-layered sandwiches,HAD domain-like,HAD domain-related,HAD-like,Hydrolase_like
504.1.1.1,a+b two layers,Bacterial protein-export protein SecB,Bacterial protein-export protein SecB,Bacterial protein-export protein SecB,SecB
375.1.1.7,few secondary structure elements,Rubredoxin-like,Rubredoxin-related,Rubredoxin-related,TFIIS_C
1.1.13.8,beta barrels,cradle loop barrel,RIFT-related,Phage tail proteins,CoV_NSP9
3016.1.1.19,a+b two layers,C-terminal domain in some PLP-dependent transferases,C-terminal domain in some PLP-dependent transferases,C-terminal domain in some PLP-dependent transferases,KYNU_C
148.1.3.48,alpha arrays,Histone-like,Histone-related,AAA+ ATPase lid domain,Lon_lid
601.1.2.2,alpha bundles,Four-helical up-and-down bundle,alpha-catenin-related,I/LWEQ domain (Pfam 01608),I_LWEQ
9.9.1.1,beta barrels,Lipocalins/Streptavidin,Hypothetical protein YwiB,Hypothetical protein YwiB,DUF1934
2008.2.1.0,a/b three-layered sandwiches,Restriction endonuclease-like,tRNA-intron endonuclease catalytic domain-like,tRNA-intron endonuclease catalytic domain-like,NO_F_NAME
2004.1.1.8,a/b three-layered sandwiches,P-loop domains-like,P-loop domains-related,P-loop containing nucleoside triphosphate hydrolases,"ABC_tran,CFTR_R"
242.2.1.0,a+b two layers,Homing endonucleases-like,tRNA-intron endonuclease N-terminal domain-like,tRNA-intron endonuclease N-terminal domain-like,NO_F_NAME
301.3.1.1,a+b three layers,Bacillus chorismate mutase-like,OmpA-like,OmpA-like,OmpA
2002.1.1.122,a/b barrels,TIM beta/alpha-barrel,TIM barrels,TIM barrels,"Radical_SAM,BATS"
307.1.1.2,a+b two layers,Hedgehog/DD-peptidase,Hedgehog/DD-peptidase,Hedgehog/DD-peptidase,Peptidase_M15
632.3.1.1,alpha bundles,immunoglobulin/albumin-binding domain-like,Phosphoprotein XD domain,Phosphoprotein XD domain,Paramyxo_P
148.1.1.14,alpha arrays,Histone-like,Histone-related,Histone,DUF1931
11.1.1.114,beta sandwiches,Immunoglobulin-like beta-sandwich,Immunoglobulin-related,Immunoglobulin/Fibronectin type III/E set domains/PapD-like,COP-gamma_platf
331.9.1.4,a+b two layers,TBP-like,Subdomain of clathrin and coatomer appendage domain,Subdomain of clathrin and coatomer appendage domain,Coatomer_g_Cpla
213.1.1.35,a+b three layers,Nat/Ivy,Acyl-CoA N-acyltransferases (Nat),Acyl-CoA N-acyltransferases (Nat),Acetyltransf_CG
3051.1.1.1,alpha arrays,Superantigen MAM C-terminal domain,Superantigen MAM C-terminal domain,Superantigen MAM C-terminal domain,MA-Mit
611.5.1.1,alpha bundles,N-cbl like,Superantigen MAM N-terminal domain,Superantigen MAM N-terminal domain,MA-Mit
2485.1.1.27,a+b three layers,Thioredoxin-like,Thioredoxin-like,Thioredoxin-like,KaiB
5083.1.1.1,extended segments,Connexin43,Connexin43,Connexin43,Connexin43
2487.1.1.9,a/b three-layered sandwiches,"The ""swivelling"" beta/beta/alpha domains","The ""swivelling"" beta/beta/alpha domain","The ""swivelling"" beta/beta/alpha domain",Cyclase
2004.1.1.153,a/b three-layered sandwiches,P-loop domains-like,P-loop domains-related,P-loop containing nucleoside triphosphate hydrolases,AAA_2
4037.1.1.1,alpha superhelices,Alpha-helical domain in virulence-associated V antigen,Alpha-helical domain in virulence-associated V antigen,Alpha-helical domain in virulence-associated V antigen,LcrV
4055.1.1.1,a+b complex topology,a+b domain in virulence-associated V antigen,a+b domain in virulence-associated V antigen,a+b domain in virulence-associated V antigen,LcrV
308.1.1.2,a+b two layers,ClpS-like,ClpS-related,ClpS-related,ClpS
157.1.1.1,alpha duplicates or obligate multimers,Flavivirus capsid protein C,Flavivirus capsid protein C,Flavivirus capsid protein C,Flavi_capsid
616.1.1.2,alpha arrays,S15/NS1 RNA-binding domain,S15/NS1 RNA-binding domain,S15/NS1 RNA-binding domain,WHEP-TRS
304.7.1.13,a+b two layers,Alpha-beta plaits,Protease propeptides/inhibitors,Protease propeptides/inhibitors,Fervidolysin_NPro-like
11.1.4.0,beta sandwiches,Immunoglobulin-like beta-sandwich,Immunoglobulin-related,Prealbumin-like,NO_F_NAME
10.10.1.3,beta sandwiches,jelly-roll,Lipase/lipooxygenase domain (PLAT/LH2 domain),Lipase/lipooxygenase domain (PLAT/LH2 domain),Fervidolysin_SD2
218.1.1.5,a+b two layers,Enolase-N/ribosomal protein,Enolase N-terminal domain-like,Enolase N-terminal domain-like,MenC_N
3317.1.1.0,alpha arrays,KorB C-terminal domain-like,KorB C-terminal domain,KorB C-terminal domain,NO_F_NAME
10.15.1.1,beta sandwiches,jelly-roll,Smp-1-like,Smp-1-like,DUF1935
4.1.1.59,beta barrels,SH3,SH3,SH3,SH3_5
12.1.1.13,beta sandwiches,Glycosyl hydrolase domain-like,Glycosyl hydrolase domain,Glycosyl hydrolase domain,Suc_Porlyase_C
101.1.2.150,alpha arrays,HTH,HTH,winged,HTH_45
330.5.1.2,a+b two layers,dsRBD-like,Bacillus phage protein,Bacillus phage protein,Phage_ABA_S
242.1.1.2,a+b two layers,Homing endonucleases-like,Homing endonucleases,Homing endonucleases,LAGLIDADG_2
102.1.3.4,alpha arrays,HhH/H2TH,SAM/DNA-glycosylase,PAP/OAS1 substrate-binding domain,tRNA_NucTransf2
304.20.1.4,a+b two layers,Alpha-beta plaits,"PAP/Archaeal CCA-adding enzyme, C-terminal domain","PAP/Archaeal CCA-adding enzyme, C-terminal domain",CAA_C
321.1.1.7,a+b two layers,Glutamine synthetase-like,Glutamine synthetase/guanido kinase,Glutamine synthetase/guanido kinase,GCS2
304.15.1.1,a+b two layers,Alpha-beta plaits,Viral DNA-binding domain,Viral DNA-binding domain,PPV_E2_C
632.4.1.1,alpha bundles,immunoglobulin/albumin-binding domain-like,Typo IV secretion system protein TraC,Typo IV secretion system protein TraC,T4SS
2007.1.3.16,a/b three-layered sandwiches,Flavodoxin-like,Class I glutamine amidotransferase-like,CheY-like,KaiA_N
843.1.1.1,a+b two layers,"Tombusvirus P19 core protein, VP19","Tombusvirus P19 core protein, VP19","Tombusvirus P19 core protein, VP19",Tombus_P19
7523.1.1.17,a/b three-layered sandwiches,Periplasmic binding protein-like II,Periplasmic binding protein-like II,Periplasmic binding protein-like II,OpuAC
354.1.1.2,few secondary structure elements,Sea anemone toxin k-like,Sea anemone toxin k-related,Sea anemone toxin k-related,Crisp
7563.1.1.8,a/b three-layered sandwiches,MCP/YpsA-related,MCP/YpsA-related,MCP/YpsA-related,LDcluster4
304.40.1.1,a+b two layers,Alpha-beta plaits,Translational regulator protein regA,Translational regulator protein regA,Translat_reg
101.1.2.187,alpha arrays,HTH,HTH,winged,Rep3_C
542.1.1.1,alpha arrays,"Eukaryotic initiation factor 4f subunit eIF4g, eIF4e-binding domain","Eukaryotic initiation factor 4f subunit eIF4g, eIF4e-binding domain","Eukaryotic initiation factor 4f subunit eIF4g, eIF4e-binding domain",eIF_4G1
929.1.1.1,beta duplicates or obligate multimers,Resistin,Resistin,Resistin,Resistin
192.12.1.1,alpha bundles,Long alpha-hairpin,Transcriptional repressor TraM,Transcriptional repressor TraM,Prok-TraM
906.1.1.1,few secondary structure elements,CCCH zinc finger,CCCH zinc finger,CCCH zinc finger,zf-CCCH
57.1.1.1,beta complex topology,Cloacin translocation domain,Cloacin translocation domain,Cloacin translocation domain,Cloacin
5061.1.1.2,alpha complex topology,Preprotein translocase SecY subunit,Preprotein translocase SecY subunit,Preprotein translocase SecY subunit,"SecY,Plug_translocon"
5027.1.1.1,extended segments,Preprotein translocase SecE subunit,Preprotein translocase SecE subunit,Preprotein translocase SecE subunit,SecE
5028.1.1.1,extended segments,Sec-beta subunit,Sec-beta subunit,Sec-beta subunit,Sec61_beta
101.1.9.12,alpha arrays,HTH,HTH,Putative DNA-binding domain,Exc
212.1.1.7,a+b two layers,Ribosomal protein S5 domain 2-like,Ribosomal protein S5 domain 2-like,Ribosomal protein S5 domain 2-like,IGPD
2003.1.5.28,a/b three-layered sandwiches,Rossmann-like,Rossmann-related,S-adenosyl-L-methionine-dependent methyltransferases,mRNA_G-N7_MeTrfase
4.1.1.91,beta barrels,SH3,SH3,SH3,hSH3
3696.1.1.3,a+b two layers,DNA helicase UvsW N-terminal a+b domain-related,DNA helicase UvsW N-terminal a+b domain-related,DNA helicase UvsW N-terminal a+b domain-related,UvsW_N
613.1.1.1,alpha complex topology,Putative anticodon-binding domain of alanyl-tRNA synthetase (AlaRS),Putative anticodon-binding domain of alanyl-tRNA synthetase (AlaRS),Putative anticodon-binding domain of alanyl-tRNA synthetase (AlaRS),tRNA-synt_2c
314.1.1.4,a+b three layers,Class II aaRS and biotin synthetases,Class II aaRS and biotin synthetases,Class II aaRS and biotin synthetases,tRNA-synt_2c
2003.1.5.35,a/b three-layered sandwiches,Rossmann-like,Rossmann-related,S-adenosyl-L-methionine-dependent methyltransferases,LCM
304.4.1.14,a+b two layers,Alpha-beta plaits,Dimeric alpha+beta barrel,Dimeric alpha+beta barrel,Dabb
931.1.1.5,few secondary structure elements,Metallothionein,Metallothionein,Metallothionein,Yeast_MT
861.1.1.1,a+b two layers,Mago nashi protein,Mago nashi protein,Mago nashi protein,Mago_nashi
64.4.1.1,beta meanders,WW domain-like,"Pym (Within the bgcn gene intron protein, WIBG), N-terminal domain","Pym (Within the bgcn gene intron protein, WIBG), N-terminal domain",Mago-bind
2004.1.1.192,a/b three-layered sandwiches,P-loop domains-like,P-loop domains-related,P-loop containing nucleoside triphosphate hydrolases,AAA_18
304.120.1.1,a+b two layers,Alpha-beta plaits,Ferredoxin-like domain in ThiI,Ferredoxin-like domain in ThiI,DUF3195
4143.1.1.3,a+b two layers,THUMP domain-like,THUMP domain-like,THUMP domain-like,DUF3195_C
5029.1.1.1,extended segments,Oligosaccharyltransferase subunit ost4p,Oligosaccharyltransferase subunit ost4p,Oligosaccharyltransferase subunit ost4p,Ost4
191.1.1.20,alpha bundles,"Tetracyclin repressor-like, C-terminal domain","Tetracyclin repressor-like, C-terminal domain","Tetracyclin repressor-like, C-terminal domain",TetR_C_17
2.1.1.2,beta barrels,OB-fold,Nucleic acid-binding proteins,Nucleic acid-binding proteins,Ribosomal_L2
4.1.1.38,beta barrels,SH3,SH3,SH3,Ribosomal_L2_C
318.1.1.1,a+b two layers,Ribosomal protein L6,Ribosomal protein L6,Ribosomal protein L6,Ribosomal_L6
304.105.1.1,a+b two layers,Alpha-beta plaits,Hypothetical protein Ta1353,Hypothetical protein Ta1353,Adenosine_kin
2007.2.1.4,a/b three-layered sandwiches,Flavodoxin-like,Flavoproteins/Phosphotyrosine protein phosphatases-like,Flavoproteins,Flavodoxin_NdrI
103.2.1.2,alpha arrays,RuvA-C,ATP cone,ATP cone,ATP-cone
1074.1.1.1,alpha arrays,Alpha helical domain of ribonucleotide reductases,Alpha helical domain of ribonucleotide reductases,Alpha helical domain of ribonucleotide reductases,Ribonuc_red_lgN
1109.1.1.0,few secondary structure elements,Fe-S cluster binding domain in some xanthine oxidase family enzymes,Fe-S cluster binding domain in some xanthine oxidase family enzymes,Fe-S cluster binding domain in some xanthine oxidase family enzymes,NO_F_NAME
376.1.1.2,few secondary structure elements,RING/U-box-like,RING/U-box-like,RING/U-box,NO_F_NAME
386.1.1.17,few secondary structure elements,beta-beta-alpha zinc fingers,beta-beta-alpha zinc fingers,beta-beta-alpha zinc fingers,zf-RAG1
862.1.1.3,a+b complex topology,Prim-pol domain,Prim-pol domain,Prim-pol domain,Prim-Pol
7555.1.1.3,a/b three-layered sandwiches,"Alpha-2,3/8-sialyltransferase CstII-related","Alpha-2,3/8-sialyltransferase CstII-related","Alpha-2,3/8-sialyltransferase CstII-related",CST-I
243.3.1.1,a+b two layers,Cystatin-like,Cystatin/monellin,Cystatin/monellin,Cystatin
11.1.1.68,beta sandwiches,Immunoglobulin-like beta-sandwich,Immunoglobulin-related,Immunoglobulin/Fibronectin type III/E set domains/PapD-like,ASF1_hist_chap
354.1.1.0,few secondary structure elements,Sea anemone toxin k-like,Sea anemone toxin k-related,Sea anemone toxin k-related,NO_F_NAME
2003.1.2.19,a/b three-layered sandwiches,Rossmann-like,Rossmann-related,FAD/NAD(P)-binding domain,Thi4
579.1.1.1,extended segments,Anti-sigma factor FlgM,Anti-sigma factor FlgM,Anti-sigma factor FlgM,FlgM
526.1.1.1,alpha bundles,ERO1-like,ERO1-like,ERO1-like,ERO1
4006.1.1.0,alpha bundles,Release factor (Pfam 00472) N-terminal alpha helical domain,Release factor (Pfam 00472) N-terminal alpha helical domain,Release factor (Pfam 00472) N-terminal alpha helical domain,NO_F_NAME
301.6.1.2,a+b three layers,Bacillus chorismate mutase-like,Tubulin C-terminal domain-like,Tubulin C-terminal domain-like,FtsZ_C
101.1.17.1,alpha arrays,HTH,HTH,FF domain,Ribosomal_S17e
103.5.1.1,alpha arrays,RuvA-C,post-HMGL domain-like,post-HMGL domain-like,PYC_OADA
1.1.4.1,beta barrels,cradle loop barrel,RIFT-related,Bacterial fluorinating enzyme-C,SAM_HAT_C
7540.1.1.1,a/b three-layered sandwiches,"Bacterial fluorinating enzyme, N-terminal domain","Bacterial fluorinating enzyme, N-terminal domain","Bacterial fluorinating enzyme, N-terminal domain",SAM_HAT_N
156.1.1.1,alpha duplicates or obligate multimers,"Ribosomal protein L7/12, oligomerisation (N-terminal) domain","Ribosomal protein L7/12, oligomerisation (N-terminal) domain","Ribosomal protein L7/12, oligomerisation (N-terminal) domain",Ribosomal_L12_N
101.1.1.43,alpha arrays,HTH,HTH,tri-helical,Mor
3014.1.1.1,alpha duplicates or obligate multimers,Middle operon regulator dimerization domain,Middle operon regulator dimerization domain,Middle operon regulator dimerization domain,Mor
101.1.8.5,alpha arrays,HTH,HTH,DNA breaking-rejoining enzymes,Topo_C_assoc
212.1.1.18,a+b two layers,Ribosomal protein S5 domain 2-like,Ribosomal protein S5 domain 2-like,Ribosomal protein S5 domain 2-like,Lon_C
3010.1.1.2,a/b three-layered sandwiches,C-terminal subdomain in Lon-related proteases catalytic domains,C-terminal subdomain in Lon-related proteases catalytic domains,C-terminal subdomain in Lon-related proteases catalytic domains,Lon_C
221.4.1.9,a+b two layers,beta-Grasp,Nudix,Nudix,NUDIX_4
641.1.1.1,alpha bundles,Glycogen synthesis protein GlgS,Glycogen synthesis protein GlgS,Glycogen synthesis protein GlgS,GlgS
614.1.1.3,alpha duplicates or obligate multimers,L27 domain,L27 domain,L27 domain,L27_1
305.2.1.1,a+b two layers,DCoH-like,Pterin-4a-carbinolamine dehydratase (PCD)/dimerization cofactor of HNF1 (DCoH),Pterin-4a-carbinolamine dehydratase (PCD)/dimerization cofactor of HNF1 (DCoH),Pterin_4a
207.2.1.33,beta duplicates or obligate multimers,Single-stranded right-handed beta-helix,Pectin lyase-like,Pectin lyase-like,Pel9A-like_beta_helix
288.1.1.1,a+b four layers,CNF1/YfiH-like putative cysteine hydrolases,CNF1/YfiH-like putative cysteine hydrolases,CNF1/YfiH-like putative cysteine hydrolases,Cu-oxidase_4
109.12.1.2,alpha superhelices,Repetitive alpha hairpins,C-terminal domain of Ku80,C-terminal domain of Ku80,Ku_PK_bind
139.1.1.4,few secondary structure elements,Multiheme cytochromes,Cytochrome c3-like,Cytochrome c3-like,Cytochrome_C7
207.2.1.15,beta duplicates or obligate multimers,Single-stranded right-handed beta-helix,Pectin lyase-like,Pectin lyase-like,TPS
5077.1.1.1,extended segments,Chlorophyll a-b binding protein,Chlorophyll a-b binding protein,Chlorophyll a-b binding protein,Chloroa_b-bind
304.52.1.1,a+b two layers,Alpha-beta plaits,YbeD/HP0495-like,YbeD/HP0495-like,DUF493
620.1.1.6,alpha bundles,YfiT-like putative metal-dependent hydrolases,YfiT-like putative metal-dependent hydrolases,YfiT-like putative metal-dependent hydrolases,DinB_2
213.1.1.9,a+b three layers,Nat/Ivy,Acyl-CoA N-acyltransferases (Nat),Acyl-CoA N-acyltransferases (Nat),NMT_C
2006.1.4.1,a/b three-layered sandwiches,HAD domain-like,HAD domain-related,PIN domain-like,"XPG_N,XPG_I"
